ЦУР,2016,2017,2018,2019,2020,2021,2022,Model,2023_forecast,2024_forecast,mape
Т2.3.1,72.0,72.0,73.0,74.0,72.0,74.0,74.0,exp,73.00000000859403,73.00000000859403,0.011743886732521575
Т2.3.2,257.0,254.0,256.0,257.0,258.0,262.0,262.0,arch,257.8191840890323,257.8191840890323,0.0087332544675573
Т2.3.3,316.0,339.0,341.0,338.0,332.0,333.0,333.0,exp,333.0,333.0,0.01610884878708926
Т2.3.4,71.0,72.0,65.0,65.0,63.0,63.0,63.0,exp,63.00132606033307,63.00132606033307,0.04271463250886687
Т2.3.5,132.0,138.0,139.0,139.0,140.0,140.0,140.0,arch,139.7532998794262,139.7532998794262,0.012509638604267093
Т2.3.6,65.0,65.0,66.0,68.0,66.0,68.0,68.0,arima,66.57142857142858,66.57142857142858,0.018384696535957066
Т2.4.1,436.9,474.1,404.9,450.3,463.0,500.0,500.0,arima,461.3142857142857,461.3142857142857,0.05786023381947277
Т2.4.2,85.8,88.8,87.0,60.5,59.3,73.5,73.5,exp,73.5,73.5,0.13216610871159706
Т2.4.3,97.2,98.7,98.9,99.1,98.9,98.3,98.3,arch,98.5232377075034,98.5232377075034,0.004769355336888177
Т2.4.4,141.2,135.0,121.6,116.2,115.9,94.1,94.1,arch,116.6102110587353,116.6102110587353,0.11992763607787978
Т2.5.1,110.9,116.1,122.6,120.5,120.6,117.4,117.4,exp,117.4,117.4,0.023497585594645185
Т2.5.2,188.3,182.0,188.7,189.2,182.1,189.2,189.2,arch,186.97057255601354,186.97057255601354,0.015090424718738477
Т2.5.3,4786.0,5418.0,5479.0,5230.0,5233.0,4699.0,4699.0,arch,5077.714301620806,5077.714301620806,0.0595685920116013
Т2.5.4,1214.9,1109.2,1126.4,1169.7,1142.8,856.3,856.3,arch,1082.7932978408523,1082.7932978408523,0.11815291211361785
Т2.5.5,1064.1,1161.0,1111.8,1043.9,1148.0,948.7,948.7,arch,1063.2854702351929,1063.2854702351929,0.06607030065000176
Т2.5.6,257.5,300.1,316.7,339.3,283.0,331.4,331.4,arch,309.16052404467484,309.16052404467484,0.08144359443986073
Т2.6.1,11.7,13.5,10.9,12.1,12.5,13.6,15.3,arch,12.728564996430961,12.728564996430961,0.08788422841198144
Т2.6.2,1.3,1.4,1.3,1.8,1.4,1.9,1.8,arch,1.549987131615022,1.549987131615022,0.1515531847302763
Т2.6.3,265.9,309.5,338.9,355.4,326.6,335.3,388.9,arch,332.3768299207151,332.3768299207151,0.08281405707340353
Т2.6.4,582.1,597.2,521.7,575.0,549.4,532.8,545.2,arch,552.50218719063,552.50218719063,0.03998278629556757
Т2.6.5,101.3,97.5,116.0,119.7,117.9,117.3,107.4,arch,111.80741678672366,111.80741678672366,0.07029802026386214
Т2.6.6,18.2,17.5,28.0,30.6,25.5,24.1,26.2,exp,26.19999996870756,26.19999996870756,0.1634261650424897
Т2.7.1,580.6,592.7,606.9,614.7,621.5,625.0,627.4,arch,618.4192083720455,618.4192083720455,0.02333755562893528
Т2.7.2,481.1,433.8,387.3,351.0,338.0,331.9,331.8,arch,361.31692118920273,361.31692118920273,0.10844624479831802
Т2.7.3,1220.5,1225.5,1181.8,1096.1,1029.7,982.7,936.6,arch,1104.154378119635,1104.154378119635,0.09174122882497822
Т2.7.4,21.4,21.8,15.0,13.7,13.2,14.4,17.0,arch,15.079459574048055,15.079459574048055,0.14459468171444584
Т2.8.1,367.5,378.5,379.6,263.0,254.3,315.5,393.6,arima,343.00124881788395,343.00124881788395,0.15001600805423537
Т2.8.2,1089.3,1091.1,1096.0,1096.2,1096.7,1098.6,1101.9,arch,1096.1251617311423,1096.1251617311423,0.0027244821561889514
Т2.8.3,2021.8,2085.7,1857.0,1744.3,1698.9,1374.4,1673.6,arch,1779.3854112247714,1779.3854112247714,0.10484589883287856
3.1.1,8.2,4.6,7.3,13.3,2.7,27.9,12.3,arch,10.473556166798213,10.473556166798213,0.8362230350857436
3.2.1,7.8,7.7,6.5,5.7,6.5,7.8,6.3,arch,6.890118159037004,6.890118159037004,0.1087115801671602
3.2.2,1.88,1.49,1.46,2.15,1.78,2.59,1.66,arch,1.8477645965176868,1.8477645965176868,0.1573117615670128
3.3.1,36.8,49.5,39.9,45.0,28.0,22.2,29.0,exp,28.135317703828036,28.135317703828036,0.2395041400199454
3.3.2,39.9,40.5,35.0,30.9,25.3,25.1,28.3,arch,31.460396950214367,31.460396950214367,0.16607961592856518
3.3.3,1.0,0.0,7.0,1.0,1.0,5.0,2.0,arima,2.4285714285714284,2.4285714285714284,1562473340108132.0
3.3.4,2.15,2.08,1.4908,1.07,0.31,0.6,0.53,exp,0.5300000010430812,0.5300000010430812,0.4916608155446104
3.4.1a,10.7,11.6,10.9,11.5,11.4,10.8,10.8,arch,11.094920887944541,11.094920887944541,0.03070471753076778
3.4.1b,39.8,33.3,32.2,34.1,60.3,96.6,83.5,arima,60.677247296893526,46.20150915371943,0.4349339613715956
3.4.2,6.9,3.71,3.7,3.3,2.9,4.56,3.97,arch,3.960139943226945,3.960139943226945,0.18049110531724466
3.5.1,9.3,9.7,10.6,8.9,7.4,7.8,7.7,arch,8.784214293382652,8.784214293382652,0.11260375013149013
3.5.2,7.73,6.14,6.21,6.26,5.68,5.68,5.68,arima,6.197142854142735,6.197142854142735,0.07040810239860001
3.6.1,16.8083,14.1326,13.1832,10.5293,10.2,10.6169,10.3388,exp,10.338800004144014,10.338800004144014,0.13006437941218021
3.7.1 (возраст 25-29 лет),82.7,78.4,80.2,84.0,80.1,80.1,80.1,arch,80.74371222314852,80.74371222314852,0.01760048264472964
3.7.1 (возраст 30-34 лет),67.1,62.7,60.7,61.0,54.2,54.2,54.2,arch,58.85657492718087,58.85657492718087,0.07248614783636402
3.7.1 (возраст 35-39 лет),33.1,31.7,31.9,33.4,29.9,29.9,29.9,arch,31.444660864404824,31.444660864404824,0.04083783507445505
3.c.1,89.5,88.5,88.2,88.2,87.6,85.4,85.4,arch,87.75477214041723,87.75477214041723,0.013561424289101065
Т3.2.1,35.4,39.7,42.2,47.2,26.2,29.8,44.4,arima,37.84285714285714,37.84285714285714,0.18274897955258654
Т3.2.2,34.9,39.2,44.8,48.7,49.6,52.4,52.4,arch,51.04898836061349,51.04898836061349,0.14764154858660056
Т3.2.3,58.0,58.0,58.0,58.0,57.1,57.0,59.0,exp,57.87144352664878,57.87144352664878,0.008113273889250299
Т3.2.4,72.2,73.0,73.2,73.7,72.0,69.8,72.01,arima,72.27285714285715,72.27285714285715,0.012266826946544232
Т3.2.5,12.2,12.2,12.2,12.2,7.5,23.7,9.7,arch,12.49127014769083,12.49127014769083,0.21738615604845382
Т3.3.1,37.4,37.5,37.5,37.1,38.7,39.1,39.1,arch,37.613736895771524,37.613736895771524,0.018531530853643792
Т3.4.5,89.5,88.5,88.2,88.2,87.6,85.4,85.4,arch,87.75477214041723,87.75477214041723,0.013561424289101065
Т3.5.1,37.4,37.5,37.5,37.1,38.7,39.1,39.1,arch,37.613736895771524,37.613736895771524,0.018531530853643792
Т3.5.2,89.5,88.5,88.2,88.2,87.6,85.4,85.4,arch,87.75477214041723,87.75477214041723,0.013561424289101065
Т3.6.1,36.8,49.6,39.9,45.0,22.9,14.5,23.4,exp,22.03875410062804,22.03875410062804,0.37797888191918577
Т3.6.2,39.9,40.5,35.0,30.9,25.3,25.2,28.4,arch,31.484923942011793,31.484923942011793,0.1650497396372254
Т3.6.3,1.0,0.0,7.0,1.0,1.0,5.0,2.0,arima,2.4285714285714284,2.4285714285714284,1562473340108132.0
Т3.6.4,2.15,2.08,1.49,1.07,1.0,1.3,1.7,arima,1.754724959166723,1.8988481262938994,0.18761045304026527
Т3.6.5,116.0,143.0,88.0,77.0,33.0,64.0,109.0,arch,89.54012856776575,89.54012856776575,0.4390343624340255
Т3.6.6,9.0,9.0,18.0,15.0,5.0,6.0,5.0,exp,9.571425217015372,9.571425217015372,0.48299287889225045
Т3.6.7,6.0,1.0,4.0,10.0,5.5,1.0,4.0,arima,4.5,4.5,1.175974025974026
Т3.6.8,600.0,423.0,356.0,280.0,174.0,103.0,125.0,exp,124.99999967217447,124.99999967217447,0.461496331858103
Т3.6.9,23.2,24.5,24.5,31.1,21.2,23.2,23.9,arch,24.511337840725915,24.511337840725915,0.07251430894841866
Т3.6.10,9.3,9.7,10.6,8.9,7.4,7.9,7.7,arch,8.79816123510555,8.79816123510555,0.11051598832954622
Т3.6.11,37.2,30.7,29.7,29.9,23.2,30.1,25.2,arima,29.428571428571427,29.428571428571427,0.10482996994511327
Т3.7.1,184.5,177.9,184.1,188.3,188.9,188.1,188.1,exp,188.05143121151013,188.05143121151013,0.014813804716287722
Т3.7.2,639.8,620.0,621.9,610.0,675.0,711.7,711.7,arch,631.9883355202509,631.9883355202509,0.05307690752896722
Т3.7.3,15.9,12.7,10.9,10.4,8.7,9.7,9.7,arch,10.158206591887618,10.158206591887618,0.13066423454729076
Т3.7.4,2.1,1.5,1.3,1.2,1.0,1.1,1.1,exp,1.1,1.1,0.15429094724945844
Т3.8.1,10.7,11.6,10.9,11.5,11.4,10.8,10.8,arch,11.094920887944541,11.094920887944541,0.03070471753076778
Т3.8.2,39.8,33.3,32.2,34.1,60.3,96.6,96.6,arch,53.77705966946002,53.77705966946002,0.4582888760012679
Т3.8.3,6.9,3.7,3.7,3.3,2.9,4.6,4.6,arch,4.144631041398843,4.144631041398843,0.21754119427513943
Т3.8.4,7.73,7.73,7.73,6.14,6.21,6.26,6.26,exp,6.259896942819049,6.259896942819049,0.0854885142266116
Т3.9.1,7.8,7.7,6.5,5.7,6.5,7.8,7.8,arch,7.1163865856777,7.1163865856777,0.11098121026397811
Т3.9.2,1.88,1.49,1.46,2.15,1.78,2.59,2.59,arch,1.9656498735674606,1.9656498735674606,0.19761252181139374
Т3.10.1,489.5,448.2,444.5,428.7,493.0,579.9,579.9,arima,524.8169633335415,490.71720580908163,0.08703115780399232
Т3.10.2,8.2,4.6,7.3,13.3,2.7,27.9,27.9,arch,10.118478946847071,10.118478946847071,0.8687401573782313
Т3.10.3,7.8,7.7,6.5,5.7,6.5,7.8,7.8,arch,7.1163865856777,7.1163865856777,0.11098121026397811
Т3.10.4,6.6,6.5,5.1,4.8,5.5,6.5,6.5,exp,6.5,6.5,0.11794945283081204
Т3.10.5 (в возрасте 10-14 лет),0.2,0.2,0.1,0.1,0.2,0.1,0.1,arch,0.14135191759839638,0.14135191759839638,0.36197113427998706
Т.3.10.6 (в возрасте 15-19 лет),23.1,19.1,16.8,15.7,15.3,14.6,14.6,arch,15.72959416911735,15.72959416911735,0.10627754500156684
Т3.11.1,4.4,3.3,3.5,3.7,4.1,5.1,5.1,arima,4.3626433425658435,4.111116233773206,0.11844027461515526
Т3.12.1,30.09,29.82,28.81,29.49,35.2,30.98,30.98,arch,30.721991840151155,30.721991840151155,0.043323714283636634
Т3.12.2,0.57,0.82,0.63,0.56,0.27,0.14,0.14,exp,0.14000000000000004,0.14000000000000004,0.5132733590651366
Т3.12.3,1.82,2.83,1.78,3.68,1.39,1.55,1.55,exp,2.085687336840277,2.085687336840277,0.31509508789026575
