ЦУР,2016,2017,2018,2019,2020,2021,2022,AgglomerativeClustering,KMeans
Т4.9.1,80.7,80.1,83.2,80.4,80.2,78.8,78.8,0,3
Т4.9.2,99.2,95.0,96.2,97.7,96.7,95.5,95.5,0,3
8.1.1,103.2,102.5,102.2,101.8,97.6,106.3,103.1,4,2
8.2.1,102.0,102.9,104.5,103.5,100.7,102.6,101.5,0,3
8.3.1,30.4,28.6,28.8,25.7,25.0,27.3,24.2,3,3
8.6.1,10.3,10.3,9.1,9.0,8.9,7.8,9.0,3,3
8.8.2,14.2,13.9,13.2,13.3,13.0,12.0,10.5,0,3
Т 8.10.1,4837.0,4773.0,4841.0,5183.0,5072.0,5015.0,4964.0,1,1
"Т 9.2.1 (Перевезено грузов транспортом общего пользования1 – всего, млн тонн)",87.7,90.0,91.9,85.0,87.1,84.8,84.8,0,3
Т 9.2.1 (железнодорожным),18.3,25.3,30.1,27.6,24.1,25.3,25.3,2,1
Т 9.2.1 (автомобильным),60.4,54.6,49.2,46.6,50.8,48.9,48.9,4,3
"Т 9.2.2 (Перевезено пассажиров транспортом общего пользования1 – всего, млн чел.)",382.1,400.8,332.6,338.4,253.7,294.5,294.5,3,3
Т 9.2.2 (железнодорожным),13.3,10.2,10.1,10.2,7.7,9.9,9.9,3,2
Т 9.2.2 (автомобильным),320.0,349.9,284.7,298.3,224.4,261.6,261.6,3,3
"Т 9.2.3 (Число абонентских станций (абонентских устройств), подключенных к сетям подвижной радиотелефонной (сотовой) связи)",1748.4,1787.2,1746.5,1876.8,1857.0,1965.0,1965.0,1,4
"Т 9.3.1 (Грузооборот по видам транспорта, млрд тонно-км)",55.8,55.9,59.5,60.5,62.4,64.5,64.5,1,4
Т 9.3.2,5.7,5.5,6.0,6.4,6.5,6.9,6.9,1,4
Т 9.3.3,9.4,8.9,9.9,11.0,6.8,10.9,10.9,4,2
Т 9.3.4,3.6,3.5,3.1,3.3,2.3,3.3,3.3,3,2
Т 9.3.5,182.0,189.0,188.0,188.0,188.0,188.0,188.0,2,1
Т 9.3.6,262.0,263.0,264.0,265.0,267.0,269.0,269.0,1,4
"Т 9.3.7 (Общая протяженность автомобильных дорог местного значения, км)",26945.9,26981.6,27125.0,27113.6,27216.9,27297.0,27297.0,1,4
Т 9.3.8,13.1,13.3,13.5,13.7,13.2,13.4,13.4,0,1
Т 9.3.9,1783.4,1642.5,1699.8,1592.5,2011.6,1453.4,1453.4,0,0
Т 9.3.10,24.0,15.0,17.0,15.0,13.0,30.0,30.0,4,2
Т 9.3.11,14.5,10.6,5.8,4.9,8.5,8.9,8.9,4,2
Т 9.3.12,1.68,1.12,1.45,1.28,0.98,0.87,0.87,3,3
Т 9.3.13,48.0,48.9,48.1,47.3,47.0,47.8,47.8,3,3
Т 9.3.14,13663.8,13102.3,12944.3,15960.6,14614.3,14299.9,14299.9,1,1
Т 9.3.15,1984.0,1995.0,2089.0,2349.0,2480.0,2522.0,2522.0,1,4
Т 9.3.16,79.6,77.9,78.1,72.7,78.1,82.2,82.2,4,2
Т 9.3.17,77.9,78.2,88.5,89.4,55.6,73.2,73.2,0,3
Т 9.3.19,5362.0,5160.0,5329.0,5278.0,5890.0,5864.0,5864.0,1,4
"Т 9.3.20 (Затраты на внедрение и использование цифровых технологий, тысяч рублей)",8418616.7,10920694.7,12456886.2,13167582.3,15011899.2,19241377.8,19241377.8,1,4
Т 9.4.1,51.2,51.7,52.2,52.7,53.2,53.7,56.1,1,4
Т 9.4.2,55.3,55.8,54.2,54.5,54.8,56.1,57.5,1,4
Т 9.5.2 (Доля валовой добавленной стоимости отрасли «Обрабатывающее производство» в ВРП),18.5,19.2,19.4,17.7,17.1,17.1,17.1,0,3
Т 9.6 (ВДС обрабатывающих производств в пересчете на душу населения),60.2,64.1,69.0,66.7,66.1,69.2,69.2,2,1
9.а.1 (Обязательства в млн дол США),24.2,277.67,181.02,92.19,91.64,79.31,79.31,0,0
9.а.2 (Изьято в млн дол США),215.59,476.03,396.68,617.75,418.45,614.3,614.3,2,1
9.а.3 (Поступило в млн дол США),191.39,198.36,577.69,525.56,510.09,534.99,534.99,2,1
9.b.1 (Доля продукции высокотехнологичных и наукоемких отраслей в валовом внутреннем продукте (%)),19.0,20.3,19.9,18.3,19.1,18.6,18.6,0,3
"Т 9.9 (Внутренние затраты на исследования и разработки, 
в % к ВРП)",0.99,0.91,0.84,0.98,0.86,0.71,0.71,0,3
